[2026-08-09T22:20:13.421Z] GET http://127.0.0.1:8731/ → 200 (24ms, 15312B)
[2026-08-09T22:20:13.448Z] GET http://127.0.0.1:8731/lib/arming.js → 200 (2ms, 9678B)
[2026-08-09T22:20:13.448Z] GET http://127.0.0.1:8731/lib/decode.js → 200 (15ms, 9073B)
[2026-08-09T22:20:13.448Z] GET http://127.0.0.1:8731/lib/chain.js → 200 (15ms, 2837B)
[2026-08-09T22:20:13.448Z] GET http://127.0.0.1:8731/lib/xrpl-address.js → 200 (16ms, 3560B)
[2026-08-09T22:20:13.450Z] GET http://127.0.0.1:8731/lib/keccak.js → 200 (14ms, 3180B)
[2026-08-09T22:20:14.068Z] POST https://coston2-api.flare.network/ext/C/rpc → pending (?ms, ?B)
[2026-08-09T22:20:15.231Z] POST https://coston2-api.flare.network/ext/C/rpc → 200 (267ms, 176B)
[2026-08-09T22:21:47.273Z] GET http://127.0.0.1:8731/ → 200 (2ms, 16887B)
[2026-08-09T22:21:47.280Z] GET http://127.0.0.1:8731/lib/arming.js → 200 (?ms, -193B)
[2026-08-09T22:21:47.280Z] GET http://127.0.0.1:8731/lib/decode.js → 304 (3ms, ?B)
[2026-08-09T22:21:47.280Z] GET http://127.0.0.1:8731/lib/chain.js → 304 (4ms, ?B)
[2026-08-09T22:21:47.280Z] GET http://127.0.0.1:8731/lib/xrpl-address.js → 304 (4ms, ?B)
[2026-08-09T22:21:47.283Z] GET http://127.0.0.1:8731/lib/keccak.js → 200 (?ms, -193B)
[2026-08-09T22:21:47.854Z] POST https://coston2-api.flare.network/ext/C/rpc → pending (?ms, ?B)
[2026-08-09T22:21:48.322Z] POST https://coston2-api.flare.network/ext/C/rpc → 200 (226ms, 155B)
[2026-08-09T22:35:37.598Z] GET http://127.0.0.1:8731/ → 200 (4ms, ?B)
[2026-08-09T22:35:37.606Z] GET http://127.0.0.1:8731/lib/arming.js → 304 (3ms, ?B)
[2026-08-09T22:35:37.606Z] GET http://127.0.0.1:8731/lib/decode.js → 304 (4ms, ?B)
[2026-08-09T22:35:37.606Z] GET http://127.0.0.1:8731/lib/chain.js → 304 (4ms, ?B)
[2026-08-09T22:35:37.606Z] GET http://127.0.0.1:8731/lib/xrpl-address.js → 304 (4ms, ?B)
[2026-08-09T22:35:37.610Z] GET http://127.0.0.1:8731/lib/keccak.js → 304 (1ms, ?B)
[2026-08-09T22:35:38.884Z] POST https://coston2-api.flare.network/ext/C/rpc → pending (?ms, ?B)
[2026-08-09T22:35:40.550Z] POST https://coston2-api.flare.network/ext/C/rpc → pending (?ms, 120B)
[2026-08-09T22:36:31.948Z] GET http://127.0.0.1:8731/ → 200 (1ms, -188B)
[2026-08-09T22:36:31.952Z] GET http://127.0.0.1:8731/lib/arming.js → 200 (?ms, -193B)
[2026-08-09T22:36:31.952Z] GET http://127.0.0.1:8731/lib/decode.js → 200 (?ms, -193B)
[2026-08-09T22:36:31.952Z] GET http://127.0.0.1:8731/lib/chain.js → 200 (?ms, -193B)
[2026-08-09T22:36:31.953Z] GET http://127.0.0.1:8731/lib/xrpl-address.js → 200 (?ms, -193B)
[2026-08-09T22:36:31.953Z] GET http://127.0.0.1:8731/lib/keccak.js → 200 (?ms, -193B)
